avgeek, 0.000000, 0.003177
just, 0.073835, 0.053101
sent, 0.011716, 0.013464
respons, 0.018306, 0.011195
busi, 0.016109, 0.004992
flt, 0.014157, 0.005446
respond, 0.007933, 0.003026
send, 0.009641, 0.007716
fll, 0.004027, 0.003026
btw, 0.001220, 0.002269
fli, 0.049182, 0.042663
luck, 0.002685, 0.002118
moment, 0.000000, 0.001513
money, 0.009885, 0.001967
save, 0.001709, 0.003328
option, 0.011716, 0.003782
place, 0.005858, 0.002118
son, 0.001587, 0.002269
yesterday, 0.010251, 0.003328
among, 0.000000, 0.001513
resolv, 0.004393, 0.002118
upgrad, 0.009885, 0.009077
smooth, 0.000000, 0.001815
took, 0.008299, 0.003480
caus, 0.007933, 0.002118
look, 0.018306, 0.020121
plus, 0.004882, 0.002874
inflight, 0.002441, 0.002874
fill, 0.003173, 0.001513
own, 0.005614, 0.001664
access, 0.002685, 0.002874
unit, 0.033805, 0.014826
fleet, 0.004027, 0.017852
under, 0.002929, 0.002723
dont, 0.050037, 0.013011
doe, 0.014889, 0.009228
fleek, 0.003783, 0.018154
anyon, 0.011960, 0.002118
bought, 0.003783, 0.001967
taken, 0.003295, 0.002421
alreadi, 0.015621, 0.007564
austin, 0.001587, 0.003328
done, 0.008909, 0.008472
long, 0.015987, 0.007413
phoenix, 0.001831, 0.001664
should, 0.029168, 0.010741
round, 0.002075, 0.001815
seattl, 0.000000, 0.001815
account, 0.007567, 0.003782
wed, 0.002563, 0.002118
tuesday, 0.003051, 0.001815
when, 0.056993, 0.026324
hey, 0.005248, 0.003933
advisori, 0.000000, 0.002572
hes, 0.001709, 0.001815
her, 0.014889, 0.010439
fix, 0.013669, 0.003026
out, 0.058335, 0.033283
beach, 0.000000, 0.001513
our, 0.053332, 0.037973
beauti, 0.000000, 0.003026
made, 0.015499, 0.011952
complet, 0.007567, 0.001513
trueblu, 0.000000, 0.001513
case, 0.004271, 0.001967
group, 0.004149, 0.002421
dmd, 0.000000, 0.001664
veri, 0.021235, 0.012708
each, 0.004882, 0.001513
profession, 0.000000, 0.001815
accept, 0.005004, 0.002118
domest, 0.001220, 0.002118
told, 0.029290, 0.003480
sky, 0.001464, 0.001513
care, 0.014523, 0.006354
card, 0.006468, 0.005295
houston, 0.005370, 0.001967
standbi, 0.004027, 0.002421
confirm, 0.010495, 0.008775
reason, 0.008909, 0.003026
hear, 0.004515, 0.004841
today, 0.032097, 0.023601
concern, 0.003783, 0.001815
head, 0.004027, 0.003480
bos, 0.005492, 0.004085
reschedul, 0.008055, 0.001664
custom, 0.092629, 0.025113
return, 0.008055, 0.004539
heard, 0.005248, 0.001967
email, 0.023920, 0.012859
work, 0.033195, 0.019970
way, 0.026361, 0.021483
agent, 0.042348, 0.010136
saturday, 0.001464, 0.002118
word, 0.004149, 0.002118
journal, 0.000000, 0.002421
usairway, 0.286307, 0.101664
was, 0.145716, 0.060212
what, 0.070295, 0.034796
ord, 0.007811, 0.003933
sweet, 0.000000, 0.001967
sit, 0.029778, 0.003933
staff, 0.016109, 0.007564
drive, 0.005004, 0.002269
live, 0.004393, 0.003026
smile, 0.000000, 0.001664
has, 0.046009, 0.014070
haha, 0.000000, 0.003480
few, 0.003051, 0.005446
must, 0.002685, 0.001967
had, 0.048938, 0.015431
middl, 0.002929, 0.001664
fee, 0.009641, 0.005295
feb, 0.002685, 0.002269
battl, 0.000000, 0.002572
weather, 0.026605, 0.012405
monday, 0.003661, 0.003177
did, 0.027581, 0.015129
vacat, 0.007567, 0.002572
readi, 0.002441, 0.003026
view, 0.000000, 0.003026
cant, 0.058213, 0.014221
she, 0.016598, 0.011195
notic, 0.002685, 0.001664
futur, 0.002807, 0.002572
voucher, 0.011960, 0.004387
child, 0.001464, 0.002421
runway, 0.006590, 0.001513
anyway, 0.002075, 0.001664
keep, 0.015621, 0.008926
appeas, 0.000000, 0.002118
seen, 0.002929, 0.001664
good, 0.017696, 0.023298
seem, 0.010251, 0.002572
actual, 0.009397, 0.003933
excit, 0.000000, 0.003328
club, 0.003173, 0.003328
list, 0.003295, 0.002269
wont, 0.019893, 0.002572
same, 0.014279, 0.006203
sfo, 0.006956, 0.006203
fantast, 0.000000, 0.002874
final, 0.010984, 0.008623
secur, 0.002563, 0.001513
from, 0.089578, 0.068381
without, 0.011350, 0.001815
twitter, 0.004882, 0.005598
dfw, 0.011106, 0.008018
call, 0.082988, 0.012557
rout, 0.002807, 0.004992
follow, 0.006834, 0.021331
one, 0.053332, 0.020272
nice, 0.008421, 0.010136
onc, 0.005980, 0.003026
know, 0.027093, 0.024811
set, 0.002441, 0.003026
snow, 0.004515, 0.007262
havent, 0.010373, 0.001967
fast, 0.000000, 0.001815
amaz, 0.001831, 0.013313
switch, 0.006102, 0.002118
see, 0.016475, 0.020877
befor, 0.018794, 0.007564
award, 0.003173, 0.003782
far, 0.005980, 0.003933
fan, 0.000000, 0.003026
commerci, 0.000000, 0.001967
bit, 0.002075, 0.001664
omg, 0.000000, 0.001967
den, 0.003051, 0.002572
both, 0.005736, 0.003631
messag, 0.008055, 0.003480
detail, 0.003051, 0.002421
winner, 0.000000, 0.001815
everi, 0.010984, 0.003480
big, 0.004638, 0.004992
stay, 0.007200, 0.002421
lovedragonss, 0.000000, 0.001513
crew, 0.018184, 0.013918
happen, 0.015377, 0.005446
fare, 0.003783, 0.003631
old, 0.006346, 0.004085
seat, 0.045765, 0.020424
expir, 0.002685, 0.001967
oscar, 0.002075, 0.002269
allow, 0.007811, 0.004387
mom, 0.002319, 0.002118
excel, 0.000000, 0.003480
said, 0.018184, 0.004085
experi, 0.020991, 0.006203
dca, 0.008787, 0.003933
boston, 0.006346, 0.004992
say, 0.031608, 0.009531
saw, 0.001220, 0.002723
give, 0.021113, 0.009228
drink, 0.002807, 0.002269
link, 0.006102, 0.003177
departur, 0.008787, 0.003782
san, 0.004638, 0.004992
order, 0.002197, 0.001513
line, 0.023066, 0.002874
ive, 0.035026, 0.006657
purchas, 0.004271, 0.002723
vega, 0.003783, 0.008321
day, 0.054552, 0.016339
orlando, 0.001709, 0.003328
everyth, 0.002807, 0.004539
dmed, 0.000000, 0.002118
event, 0.000000, 0.001513
dal, 0.000000, 0.001815
cours, 0.001953, 0.001967
jblu, 0.000000, 0.001815
absolut, 0.004393, 0.002269
time, 0.090066, 0.032224
reserv, 0.021479, 0.010439
effort, 0.000000, 0.001664
book, 0.040029, 0.024508
feel, 0.007811, 0.002572
safe, 0.001587, 0.003631
with, 0.129363, 0.067776
u, 0.029656, 0.012103
w, 0.015743, 0.004841
s, 0.003051, 0.003328
r, 0.002441, 0.002269
employe, 0.011350, 0.004236
wrong, 0.008299, 0.001513
need, 0.056993, 0.031619
p, 0.000000, 0.001513
n, 0.002075, 0.001664
schedul, 0.008177, 0.004690
k, 0.004882, 0.002269
i, 0.433244, 0.266112
america, 0.000000, 0.001815
d, 0.000000, 0.003328
name, 0.006590, 0.008775
c, 0.002563, 0.003480
b, 0.006956, 0.004690
a, 0.383939, 0.202874
move, 0.007933, 0.003782
surpris, 0.002319, 0.001513
wish, 0.002197, 0.004236
like, 0.036368, 0.021936
less, 0.006468, 0.001513
anoth, 0.026239, 0.008472
desk, 0.007200, 0.002572
